key;dep;nomdep;codecommune;nomcommune
02153;02;AISNE;02153;CESSIÈRES-SUZY
02154;02;AISNE;02154;CHACRISE
02155;02;AISNE;02155;CHAILLEVOIS
02156;02;AISNE;02156;CHALANDRY
02157;02;AISNE;02157;CHAMBRY
02158;02;AISNE;02158;CHAMOUILLE
02159;02;AISNE;02159;CHAMPS
02160;02;AISNE;02160;CHAOURSE
02162;02;AISNE;02162;LA CHAPELLE-SUR-CHÉZY
02163;02;AISNE;02163;CHARLY-SUR-MARNE
02164;02;AISNE;02164;LE CHARMEL
02165;02;AISNE;02165;CHARMES
02166;02;AISNE;02166;CHARTÈVES
02167;02;AISNE;02167;CHASSEMY
02168;02;AISNE;02168;CHÂTEAU-THIERRY
02169;02;AISNE;02169;CHÂTILLON-LÈS-SONS
02170;02;AISNE;02170;CHÂTILLON-SUR-OISE
02171;02;AISNE;02171;CHAUDARDES
02172;02;AISNE;02172;CHAUDUN
02173;02;AISNE;02173;CHAUNY
02174;02;AISNE;02174;CHAVIGNON
02175;02;AISNE;02175;CHAVIGNY
02176;02;AISNE;02176;CHAVONNE
02177;02;AISNE;02177;CHÉRÊT
02178;02;AISNE;02178;CHERMIZY-AILLES
02179;02;AISNE;02179;CHÉRY-CHARTREUVE
02180;02;AISNE;02180;CHÉRY-LÈS-POUILLY
02181;02;AISNE;02181;CHÉRY-LÈS-ROZOY
02182;02;AISNE;02182;CHEVENNES
02183;02;AISNE;02183;CHEVREGNY
02184;02;AISNE;02184;CHEVRESIS-MONCEAU
02185;02;AISNE;02185;CHÉZY-EN-ORXOIS
02186;02;AISNE;02186;CHÉZY-SUR-MARNE
02187;02;AISNE;02187;CHIERRY
02188;02;AISNE;02188;CHIGNY
02189;02;AISNE;02189;CHIVRES-EN-LAONNOIS
02190;02;AISNE;02190;CHIVRES-VAL
02191;02;AISNE;02191;CHIVY-LÈS-ETOUVELLES
02192;02;AISNE;02192;CHOUY
02193;02;AISNE;02193;CIERGES
02194;02;AISNE;02194;CILLY
02195;02;AISNE;02195;CIRY-SALSOGNE
02196;02;AISNE;02196;CLACY-ET-THIERRET
02197;02;AISNE;02197;CLAIRFONTAINE
02198;02;AISNE;02198;CLAMECY
02199;02;AISNE;02199;CLASTRES
02200;02;AISNE;02200;CLERMONT-LES-FERMES
02201;02;AISNE;02201;COEUVRES-ET-VALSERY
02203;02;AISNE;02203;COINCY
02204;02;AISNE;02204;COINGT
02205;02;AISNE;02205;COLLIGIS-CRANDELAIN
02206;02;AISNE;02206;COLONFAY
02207;02;AISNE;02207;COMMENCHON
02208;02;AISNE;02208;CONCEVREUX
02209;02;AISNE;02209;CONDÉ-EN-BRIE
02210;02;AISNE;02210;CONDÉ-SUR-AISNE
