dep;codecommune;nomcommune;nomdep;PO0_electeurs1992;PO0_electeurs2002;PO0_electeurs2012;PO0_electeurs2022;DBL_bug
01;01304;PONT-D'AIN;AIN;1576.7631;1711.4484;1912.8611;2110.3301;0
01;01305;PONT-DE-VAUX;AIN;1568.6632;1622.8352;1824.413;1775.9159;0
01;01306;PONT-DE-VEYLE;AIN;1038.2821;1157.6125;1290.8811;1302.4998;0
01;01307;PORT;AIN;532.02069;609.46649;592.50098;480.15823;0
01;01308;POUGNY;AIN;425.66608;408.40936;419.28702;332.68707;0
01;01309;POUILLAT;AIN;37.153847;47.4375;62.0;74.763634;0
01;01310;PREMEYZEL;AIN;190.62524;210.32225;182.56461;232.3313;0
01;01311;PREMILLIEU;AIN;36.830769;26.747368;34.706978;36.736496;0
01;01313;PREVESSIN-MOENS;AIN;2008.6552;2366.4121;3619.1306;4545.5928;0
01;01314;PRIAY;AIN;700.31158;886.40924;1134.61;1230.52;0
01;01317;RAMASSE;AIN;147.01137;168.75188;225.0748;222.68184;0
01;01318;RANCE;AIN;288.23181;366.39145;440.32086;492.51266;0
01;01319;RELEVANT;AIN;259.9473;289.20682;332.92444;392.80966;0
01;01320;REPLONGES;AIN;2049.8853;2247.1011;2663.5635;2977.3459;0
01;01321;REVONNAS;AIN;340.52151;397.75089;607.87061;659.45642;0
01;01322;REYRIEUX;AIN;2121.7864;2619.6099;3096.2996;4020.7307;0
01;01323;REYSSOUZE;AIN;579.8493;600.64465;718.00488;700.70013;0
01;01325;RIGNIEUX-LE-FRANC;AIN;517.26117;637.37518;688.43964;946.99646;0
01;01328;ROMANS;AIN;301.49701;364.79367;466.0701;418.18503;0
01;01329;ROSSILLON;AIN;91.476189;100.74878;126.46198;139.29651;0
01;01330;RUFFIEU;AIN;125.08956;124.90856;141.81984;152.18045;0
01;01331;SAINT-ALBAN;AIN;110.87682;112.64379;117.42012;151.06128;0
01;01332;SAINT-ANDRE-DE-BAGE;AIN;319.23712;397.14053;486.06955;689.51495;0
01;01333;SAINT-ANDRE-DE-CORCY;AIN;1825.4578;2199.2273;2240.8613;2691.4502;0
01;01334;SAINT-ANDRE-D'HUIRIAT;AIN;276.6575;319.74634;382.69983;532.34052;0
01;01335;SAINT-ANDRE-LE-BOUCHOUX;AIN;121.81564;171.72153;227.63817;313.33047;0
01;01336;SAINT-ANDRE-SUR-VIEUX-JONC;AIN;632.99536;693.49976;792.2887;810.10931;0
01;01337;SAINT-BENIGNE;AIN;598.71716;685.40314;891.48804;977.22351;0
01;01338;SAINT-BENOIT;AIN;673.55035;764.58588;854.74023;893.13257;0
01;01339;SAINT-BERNARD;AIN;695.84894;936.14014;1113.1312;1001.2571;0
01;01342;SAINTE-CROIX;AIN;258.24442;332.32925;367.41724;323.96722;0
01;01343;SAINT-CYR-SUR-MENTHON;AIN;843.67279;1000.3488;1205.5782;1296.3917;0
01;01344;SAINT-DENIS-LES-BOURG;AIN;3125.9194;3754.0283;4266.4053;4930.7612;0
01;01345;SAINT-DENIS-EN-BUGEY;AIN;1227.3113;1458.1493;1624.2764;1765.309;0
01;01346;SAINT-DIDIER-D'AUSSIAT;AIN;453.03091;510.35825;613.47339;656.10193;0
01;01347;SAINT-DIDIER-DE-FORMANS;AIN;970.39569;1127.4977;1337.9402;1545.8518;0
01;01348;SAINT-DIDIER-SUR-CHALARONNE;AIN;1535.2466;1698.2759;2048.9446;2336.4553;0
01;01349;SAINT-ELOI;AIN;229.80098;281.51443;337.80182;433.91919;0
01;01350;SAINT-ETIENNE-DU-BOIS;AIN;1450.5713;1598.4922;1888.8517;1791.8979;0
01;01351;SAINT-ETIENNE-SUR-CHALARONNE;AIN;767.13385;880.66486;1032.8038;1205.0699;0
01;01352;SAINT-ETIENNE-SUR-REYSSOUZE;AIN;300.99628;334.82983;406.67822;431.00781;0
01;01353;SAINTE-EUPHEMIE;AIN;627.96704;810.14294;1130.9;1296.8965;0
01;01354;SAINT-GENIS-POUILLY;AIN;3272.51;3795.9841;4605.9722;7723.0366;0
01;01355;SAINT-GENIS-SUR-MENTHON;AIN;244.27017;275.73752;336.9556;335.58868;0
01;01356;SAINT-GEORGES-SUR-RENON;AIN;85.272728;122.23723;133.0415;192.13235;0
01;01357;SAINT-GERMAIN-DE-JOUX;AIN;255.33275;278.72;278.54105;376.4921;0
01;01358;SAINT-GERMAIN-LES-PAROISSES;AIN;222.24197;247.87189;307.27087;316.54648;0
